Name,player,CF% rel,FF% rel,TK,GV,E+/-
Troy Brouwer\\brouwtr01,Troy Brouwer,-8.4,-9.8,1,2,-1.2
Connor Brown\\brownco02,Connor Brown,0.3,1.6,52,40,0.9
Dustin Brown\\browndu01,Dustin Brown,-3.3,-3.4,28,35,-3.5
Josh Brown\\brownjo01,Josh Brown,-1.1,-0.8,10,24,-1.9
Logan Brown\\brownlo01,Logan Brown,-0.4,1,10,16,1.3
Patrick Brown\\brownpa02,Patrick Brown,20,25,0,1,0.6
Pavel Buchnevich\\buchnpa01,Pavel Buchnevich,6.6,7.1,38,64,10.4
Connor Bunnaman\\bunnaco01,Connor Bunnaman,-6.4,-5.2,1,4,1.8
Andre Burakovsky\\burakan01,Andre Burakovsky,2.3,0.6,27,33,2.4
Brent Burns\\burnsbr01,Brent Burns,-1.4,-2.2,49,76,-7.6
Will Butcher\\butchwi01,Will Butcher,2.1,2.6,10,27,-1.6
Paul Byron\\byronpa01,Paul Byron,-0.4,-2,11,10,1.2
Nicholas Caamano\\caamani01,Nicholas Caamano,-4.7,-3.7,1,2,-1.5
Drake Caggiula\\caggidr01,Drake Caggiula,-0.2,0.1,19,5,-1.6
Matt Calvert\\calvema01,Matt Calvert,2.4,2.6,21,13,6.4
Kyle Capobianco\\capobky01,Kyle Capobianco,-2.9,-5.1,1,4,-0.5
Paul Carey\\careypa01,Paul Carey,-30.9,-31.5,0,0,-0.4
Brandon Carlo\\carlobr01,Brandon Carlo,0.2,-0.9,31,32,-1.1
John Carlson\\carlsjo01,John Carlson,0.3,0.6,42,80,1.6
Gabriel Carlsson\\carlsga01,Gabriel Carlsson,-3.5,-3.3,0,3,0.3
Lucas Carlsson\\carlslu01,Lucas Carlsson,-5.5,-2.1,1,0,0.4
Ryan Carpenter\\carpery01,Ryan Carpenter,-2.2,-0.8,30,29,-5.4
Daniel Carr\\carrda01,Daniel Carr,-7.9,-8.1,8,1,-1.3
Connor Carrick\\carrico01,Connor Carrick,-4.8,-5.6,5,12,-2.7
Sam Carrick\\carrisa01,Sam Carrick,9.2,12.1,1,5,0
Trevor Carrick\\carritr01,Trevor Carrick,-15,-24.8,0,2,-0.3
Alexandre Carrier\\carrial01,Alexandre Carrier,18.6,19.1,0,0,1.5
William Carrier\\carriwi01,William Carrier,-0.9,-0.5,22,8,9.1
Jeff Carter\\carteje01,Jeff Carter,-0.7,-0.9,13,20,0
Colby Cave\\caveco01,Colby Cave,-3.2,0.3,3,1,-0.1
Cody Ceci\\cecico01,Cody Ceci,-4.1,-4.6,13,30,0.6
Peter Cehlarik\\cehlape01,Peter Cehlarik,11.6,15.5,3,1,0.3
Erik Cernak\\cernaer01,Erik Cernak,-2.7,-2,18,28,-1.3
Thomas Chabot\\chaboth01,Thomas Chabot,3.9,2,42,87,1.3
Michael Chaput\\chapumi01,Michael Chaput,1.4,8.7,0,1,0.5
Zdeno Chara\\charazd01,Zdeno Chara,-6.5,-5.6,26,52,-4.6
Ben Chiarot\\chiarbe01,Ben Chiarot,-0.5,-0.1,18,86,11.9
