player,corsi_pct,fenwick_pct,tk,gv,exp_plus_minus,pdo
Blake Coleman,2.5,2.7,48,21,-2.7,99.0
Blake Comeau,-1,-3.1,21,27,-3.1,97.9
J.T. Compher,-4.8,-4.7,22,21,0.7,103.2
Max Comtois,-6.2,-5.2,5,19,-3,99.8
Cory Conacher,-1.2,-1.9,5,1,-0.5,96.0
Kevin Connauton,-9.3,-10.3,0,0,0.3,90.5
Brett Connolly,3.5,3.9,28,22,-1.6,99.7
Kyle Connor,1,0.2,43,39,-8.5,101.1
Andrew Copp,2.2,1.2,38,27,-8.3,98.6
Nick Cousins,-0.6,0.5,29,21,8.8,98.1
Logan Couture,-0.9,-0.7,28,26,-3.6,99.6
Sean Couturier,7.5,6.5,40,36,9.5,102.2
Charlie Coyle,1,1.7,48,33,6.7,101.2
Sidney Crosby,4.3,4,26,25,6.4,97.3
Lawson Crouse,-3.2,-3.2,28,22,-5,100.8
Austin Czarnik,-5.5,-9.5,6,2,-0.8,104.4
Kirby Dach,-0.1,0.6,38,16,-1.1,100.7
Evgenii Dadonov,4.3,2.9,29,40,3.9,98.1
Rasmus Dahlin,4,2.1,16,42,-5.5,99.6
Carl Dahlstrom,1.2,2,4,14,-0.3,96.2
Michael Dal Colle,-4.6,-6.9,10,18,-5.7,98.9
Trevor Daley,-5.3,-4.6,5,21,-10.5,95.6
Phillip Danault,7,7.3,34,50,21.4,100.2
Marko Da,-5.2,-3.8,1,1,0.4,85.7
Brandon Davidson,-0.6,1.7,3,9,-1.5,95.2
Jonathan Davidsson,6.8,11.1,0,0,0.2,88.1
Calvin de Haan,-1.7,-0.2,9,29,-0.9,103.7
Jacob de La Rose,-3.6,-2.7,13,8,-0.3,101.8
Chase De Leo,-31.8,-26.1,0,0,-0.5,100.0
Jean-Sebastien Dea,-7.1,-12.7,0,0,-0.1,100.0
Tony DeAngelo,3,2.9,16,65,3.5,102.3
Alex DeBrincat,1.3,1.7,41,37,-3.1,99.5
Jake DeBrusk,1.4,-0.3,26,21,2.4,100.5
Danny DeKeyser,-7.1,-9.6,0,8,-2.3,108.5
